X,Y,band1,band2,band3,band4,band5,band6,band7
2,136,50,35,27,48,31,121,18
2,137,50,35,27,48,31,123,18
2,138,52,39,30,73,47,123,27
2,139,56,45,37,95,60,124,30
2,140,54,44,36,80,49,124,28
2,141,53,41,35,76,44,125,29
2,142,57,49,50,103,89,125,51
2,143,58,45,41,101,74,123,40
2,144,52,40,34,73,48,123,26
2,145,55,39,34,75,57,122,30
2,146,54,40,39,85,65,122,35
2,147,54,43,37,83,56,122,32
2,148,55,43,37,92,58,122,31
2,149,55,40,36,96,48,122,24
2,150,56,41,36,85,46,122,24
2,151,53,41,37,79,48,122,27
2,152,54,40,34,81,50,122,27
2,153,55,39,37,80,59,122,30
2,154,54,41,36,100,60,122,32
2,155,54,42,36,91,50,123,27
2,156,52,42,36,92,52,123,27
2,157,51,41,31,113,57,122,30
2,158,55,42,33,124,58,122,28
2,159,54,41,32,86,50,118,24
2,160,51,40,31,69,41,118,22
2,161,51,40,31,79,42,120,22
2,162,53,41,32,83,49,120,27
2,163,54,43,36,82,51,121,29
2,164,52,44,38,78,50,121,28
2,165,53,39,33,59,41,120,25
2,166,50,35,25,52,28,120,19
2,167,50,37,27,66,44,118,23
2,168,53,37,28,52,36,118,20
2,169,49,31,23,50,26,118,17
2,170,49,34,25,44,37,118,22
2,171,54,37,30,75,53,118,27
2,172,54,38,29,80,51,118,26
2,173,48,34,29,56,33,117,17
2,174,49,33,27,53,31,117,17
2,175,50,33,28,66,45,120,24
2,176,48,34,29,69,37,120,21
2,177,52,39,30,96,54,122,26
2,178,54,40,32,94,56,122,27
2,179,51,41,32,99,54,124,26
2,180,53,45,35,114,61,124,28
2,181,53,43,37,112,63,125,31
2,182,52,40,32,91,51,125,24
2,183,53,41,32,85,51,125,28
2,184,56,39,33,69,42,125,27
2,185,58,44,38,64,43,126,26
2,186,61,47,43,73,50,126,28
2,187,59,45,41,81,56,123,33
2,188,60,48,42,91,62,123,38
2,189,56,43,37,74,43,122,26
2,190,55,44,37,108,47,122,22
2,191,54,41,34,108,51,121,26
2,192,51,37,31,72,48,121,24
2,193,50,36,30,55,36,122,23
2,194,49,35,26,57,37,122,18
2,195,48,33,28,52,37,119,24
2,196,49,33,27,50,32,119,19
2,197,51,35,27,58,36,121,19
2,198,56,45,39,68,45,121,31
2,199,54,42,45,75,55,122,39
2,200,50,37,35,76,50,122,28
2,201,50,33,25,58,37,120,19
2,202,49,32,26,51,37,120,20
2,203,50,35,29,55,41,120,20
2,204,48,36,25,60,42,120,20
2,205,48,35,28,70,40,119,20
2,206,50,37,29,73,44,119,23
2,207,50,36,27,61,36,121,19
2,208,49,34,28,70,39,121,20
2,209,52,36,28,72,41,119,22
2,210,48,41,30,94,52,119,24
2,211,51,38,29,88,47,116,22
2,212,52,38,29,81,42,116,23
2,213,48,35,26,74,37,117,21
2,214,49,34,24,68,35,117,19
2,215,50,36,25,64,41,115,19
2,216,50,34,27,59,39,115,21
2,217,49,35,28,60,40,116,21
2,218,49,33,28,63,35,116,19
2,219,49,33,28,54,33,116,20
2,220,50,35,30,46,34,116,18
2,221,54,39,35,49,34,120,18
2,222,55,36,36,52,34,120,22
2,223,51,34,30,56,27,118,17
2,224,57,42,40,45,23,118,14
2,225,58,49,42,24,12,116,10
